# Implementer-motorok nyilvántartása (ADR 0140). Egy sor = egy választható motor.
# Oszlopok TAB-bal:
#   name harness config_dir model auth_env auth_file stall_min timeout_s ctx max_out price_in price_out reasoning megjegyzés
#
# harness:   codex  = Codex CLI (CODEX_HOME=<config_dir>, `-m <model>`)
#            claude = Claude Code CLI (CLAUDE_CONFIG_DIR=<config_dir>)
# ctx:       kontextusablak — a Kilo /responses NEM ad model-metaadatot, ezért
#            motoronként adjuk meg; a túlbecsült ablak kontextus-túlcsordulást okoz
# stall_min: az elakadás-őr percértéke — LASSÚ modellnél emelni KELL, különben
#            a wrapper hamis elakadásnak látja a normál gondolkodási időt
#
# A "passz" adat a saját mérésünkből (2026-08-05, 5-10 futás, futtatott Dart
# kód egy finom-invariáns specen: tie-szabály, fail-closed, float-drift).
#
# Váltás:  tools/engine-profile.sh use <name>   → minden kör ezzel megy
#          tools/engine-profile.sh clear        → vissza a queue soronkénti értékére
#          tools/engine-profile.sh list         → állapot + elérhetőség
name	harness	config_dir	model	auth_env	auth_file	stall_min	timeout_s	ctx	max_out	price_in	price_out	reasoning	megjegyzés
# A `codex` az ÖRÖKÖLT alapértelmezett Codex-motor: `tools/codex-round.sh` a
# DEFAULT CODEX_HOME-ban (`~/.codex`) ugyanazt a gpt-5.6-terra modellt futtatja,
# mint a `terra` sor. A queue `engine` oszlopa és a kör-ágak prefixe egyaránt
# ezt a nevet használja (`codex/e06-r27-…`), ezért a sornak LÉTEZNIE kell.
# MÉRT hiányzás (2026-08-13, E06-R27 H-INDEP): az ADR 0242 §5.2 az ág-prefixet
# a `name` oszlopból oldja fel, §5.3 pedig az ismeretlen prefixet fail-closed
# H-INDEP-nek veszi. A `codex` sor hiánya miatt MINDEN `codex/*` ág folytatása
# H-INDEP-be dőlt volna — a hátralévő E06-R27..R30 mind ilyen. A függetlenség
# valódi: más harness és más előfizetés, mint a Claude-é; a Terrával viszont
# ütközik (azonos modell), amit az `orchestrator_conflicts_with_implementer`
# `codex|terra` ága már eddig is helyesen kezelt.
codex	codex	~/.codex	gpt-5.6-terra	-	-	12	3600	400000	64000	-	-	-	örökölt alapértelmezett Codex-motor; a `terra` sorral AZONOS modell → a Terra orchestrátorral ütközik
terra	codex	~/.codex-terra	gpt-5.6-terra	-	-	12	3600	400000	64000	-	-	-	ChatGPT Pro előfizetés; ítéletigényes körökre
# A `sol` az ORCHESTRÁTOR/REVIEWER-ülés motorja (Sol-pin, user-döntés
# 2026-08-20): a Terráéval KÖZÖS `~/.codex-terra` auth, de MÁS modell
# (`gpt-5.6-sol`). Azért van a nyilvántartásban, mert az önjavító kör
# rögzített identitása a Sol-pin alatt ez a sor — enélkül az utolsó heal-
# kísérlet motorváltása (ADR 0307 §2) némán elmaradna, hiszen a
# `heal_engine_for_attempt` ismeretlen névre a saját motort adja vissza.
# IMPLEMENTERNEK választva (queue-sor vagy `engine-profile.sh use sol`) a
# sol-orchestrátorral AZONOS modell miatt ütközik → `H-INDEP` fail-closed
# (`orchestrator_conflicts_with_implementer`), ami helyes: egy motor nem
# review-zheti a saját diffjét.
sol	codex	~/.codex-terra	gpt-5.6-sol	-	-	12	3600	400000	64000	-	-	-	orchestrátor/reviewer-ülés a Pro-keret égetéséig; implementernek választva H-INDEP (azonos modell a reviewerrel)
minimax	claude	~/.claude-minimax	MiniMax-M3	MINIMAX_API_KEY	~/.mmx/config.json	20	5400	1000000	32768	0.30	1.20	-	9/10; mért gyengéje: invariánst lazít (LESSONS)
qwen-plus	codex	~/.codex-kilo	qwen/qwen3.7-plus	KILOCODE_API_KEY	~/.kilocode-token	25	7200	1000000	32768	0.32	1.28	-	5/5 — a legjobb pontosság/ár; LASSÚ (~95 s/válasz)
qwen-max	codex	~/.codex-kilo	qwen/qwen3.7-max	KILOCODE_API_KEY	~/.kilocode-token	25	7200	1000000	32768	1.25	3.75	-	5/5; 80.4 SWE-bench Verified; lassú
qwen38-max	codex	~/.codex-kilo	qwen/qwen3.8-max	KILOCODE_API_KEY	~/.kilocode-token	30	7200	1000000	32768	2.00	6.00	medium	MERT (E04-R15/R16): szerkeszt, de bejelentessel zar -> a burkolo automatikus folytatasa fogja (ADR 0173); reasoning=medium 2026-08-05 ota
qwen-coder	codex	~/.codex-kilo	qwen/qwen3-coder-next	KILOCODE_API_KEY	~/.kilocode-token	12	3600	262144	32768	0.30	1.50	-	7/10 de GYORS (4 s) — volumen/mechanikus körre
qwen-coder-plus	codex	~/.codex-kilo	qwen/qwen3-coder-plus	KILOCODE_API_KEY	~/.kilocode-token	15	3600	1000000	32768	0.65	3.25	-	füst-teszt OK (2026-08-05, 20 s): TÉNYLEG szerkeszt; apply_patch NEM támogatott -> shell-fallback (sed/heredoc)
qwen-flash	codex	~/.codex-kilo	qwen/qwen3.7-flash	KILOCODE_API_KEY	~/.kilocode-token	20	3600	1000000	32768	0.03	0.13	-	4/5; a legolcsóbb Qwen; lassabb mint az ára sejtetné
gptoss	codex	~/.codex-kilo	openai/gpt-oss-120b	KILOCODE_API_KEY	~/.kilocode-token	12	3600	131072	32768	0.03	0.17	-	9/10 és 5 s — a legjobb ár/érték az egész mezőnyben
